node_id	pr_value
663930	0.00017272382511777945
482708	9.367520063394598e-05
1034017	5.416082048054425e-05
663559	4.721915676771057e-05
357530	4.5288252787468574e-05
1120567	4.44757892057213e-05
663605	4.2053434243659963e-05
663682	3.717309702164734e-05
664788	3.413849103088935e-05
1108860	3.394157082215789e-05
